Clave,Nombre,Nivel,Institucion,Programa,Inicio,Fin,Semestre,Semestre letras,Horas,Horas por semana,Comentario
DI-368,Seminario de tesis III. Examen predoctoral,Doctorado,CIDETEC-IPN,Doctorado en Ingeniería de Sistemas Robóticos y Mecatrónicos,,,25A,Febrero-Julio 2025,36,2,
DI-372,Tratamiento de análisis digital de imágenes,Doctorado,CIDETEC-IPN,Doctorado en Ingeniería de Sistemas Robóticos y Mecatrónicos,,,25A,Febrero-Julio 2025,72,4,
MCTIACD-0007,Aprendizaje profundo,Maestría,CIDETEC-IPN,Maestría en Ciencia y Tecnología de Inteligencia Artificial y Ciencia de Datos,,,25A,Febrero-Julio 2025,72,4,
MCTIACD-0010,Visión por computadora,Maestría,CIDETEC-IPN,Maestría en Ciencia y Tecnología de Inteligencia Artificial y Ciencia de Datos,,,25A,Febrero-Julio 2025,72,4,
1904,Temas Selectos en Tecnología de Cómputo,Maestría,CIDETEC-IPN,Maestría en Tecnología de Cómputo,,,25A,Febrero-Julio 2025,72,4,
6BV1,Redes Neuronales y Aprendizaje Profundo,Licenciatura,ESCOM,Ingeniería en Inteligencia Artificial,,,25A,Febrero-Julio 2025,81,4.5,
DI-384,Seminario de tesis I. Definición y registro de trabajo de tesis,Doctorado,CIDETEC-IPN,Doctorado en Ingeniería de Sistemas Robóticos y Mecatrónicos,,,25B,Agosto 2025 – Enero 2026,36,2,
DI-393,Seminario de tesis IV,Doctorado,CIDETEC-IPN,Doctorado en Ingeniería de Sistemas Robóticos y Mecatrónicos,,,25B,Agosto 2025 – Enero 2026,36,2,
DI-400,Tratamiento de análisis digital de imágenes,Doctorado,CIDETEC-IPN,Doctorado en Ingeniería de Sistemas Robóticos y Mecatrónicos,,,25B,Agosto 2025 – Enero 2026,72,2,
MCTIACD-0020,Redes neuronales artificiales,Maestría,CIDETEC-IPN,Maestría en Ciencia y Tecnología de Inteligencia Artificial y Ciencia de Datos,,,25B,Agosto 2025 – Enero 2026,72,4,
MCTIACD-0021,Visión por computadora,Maestría,CIDETEC-IPN,Maestría en Ciencia y Tecnología de Inteligencia Artificial y Ciencia de Datos,,,25B,Agosto 2025 – Enero 2026,72,4,
